latitude,longitude,time
28.649999999999995,61.45,
28.549999999999997,61.55,
28.449999999999996,61.65,
28.349999999999998,61.75,
28.249999999999996,61.849999999999994,
28.149999999999995,61.95,
28.049999999999997,62.05,
27.949999999999996,62.15,
27.849999999999998,62.25,
27.749999999999996,62.349999999999994,
27.649999999999995,62.45,
27.549999999999997,62.55,
27.449999999999996,62.65,
27.349999999999998,62.75,
27.249999999999996,62.849999999999994,
27.149999999999995,62.95,
27.049999999999997,63.05,
26.949999999999996,63.15,
26.849999999999998,63.25,
26.749999999999996,63.349999999999994,
26.649999999999995,63.45,
26.549999999999997,63.55,
26.449999999999996,63.65,
26.349999999999998,63.75,
26.249999999999996,63.849999999999994,
26.149999999999995,63.95,
26.049999999999997,64.05,
25.949999999999996,64.15,
25.849999999999994,64.25,
25.749999999999996,64.35,
25.649999999999995,64.45,
25.549999999999997,64.55,
25.449999999999996,64.65,
25.349999999999994,64.75,
25.249999999999996,64.85,
25.149999999999995,64.95,
25.049999999999997,65.05,
24.949999999999996,65.15,
24.849999999999994,65.25,
24.749999999999996,65.35,
24.649999999999995,65.45,
24.549999999999997,65.55,
24.449999999999996,65.65,
24.349999999999994,65.75,
24.249999999999996,65.85,
24.149999999999995,65.95,
24.049999999999997,66.05,
23.949999999999996,66.15,
23.849999999999994,66.25,
23.749999999999996,66.35,
23.649999999999995,66.45,
23.549999999999997,66.55,
23.449999999999996,66.65,
23.349999999999994,66.75,
23.249999999999996,66.85,
23.149999999999995,66.95,
23.049999999999997,67.05,
22.949999999999996,67.15,
22.849999999999994,67.25,
22.749999999999996,67.35,
22.649999999999995,67.45,
22.549999999999997,67.55,
22.449999999999996,67.65,
22.349999999999994,67.75,
22.249999999999996,67.85,
22.149999999999995,67.95,
22.049999999999997,68.05,
21.949999999999996,68.15,
21.849999999999994,68.25,
21.749999999999996,68.35,
21.649999999999995,68.45,
21.549999999999997,68.55,
21.449999999999996,68.65,
21.349999999999994,68.75,
21.249999999999996,68.85,
21.149999999999995,68.95,
21.049999999999997,69.05,
20.949999999999996,69.15,
20.849999999999994,69.25,
20.749999999999996,69.35,
20.649999999999995,69.45,
20.549999999999997,69.55,
20.449999999999996,69.65,
20.349999999999994,69.75,
20.249999999999996,69.85,
20.149999999999995,69.95,
20.049999999999997,70.05,
19.949999999999996,70.15,
19.849999999999994,70.25,
19.749999999999996,70.35,
19.649999999999995,70.45,
19.549999999999997,70.55,
19.449999999999996,70.65,
19.349999999999994,70.75,
19.249999999999996,70.85,
19.149999999999995,70.95,
19.049999999999997,71.05,
18.949999999999996,71.15,
18.849999999999994,71.25,
18.749999999999996,71.35,
18.649999999999995,71.45,
18.549999999999997,71.55,
18.449999999999996,71.65,
18.349999999999994,71.75,
18.249999999999996,71.85,
18.149999999999995,71.95,
18.049999999999997,72.05,
17.949999999999996,72.15,
17.849999999999994,72.25,
17.749999999999996,72.35,
17.649999999999995,72.45,
17.549999999999997,72.55,
17.449999999999996,72.65,
17.349999999999994,72.75,
17.249999999999996,72.85,
17.149999999999995,72.95,
17.049999999999997,73.05,
16.949999999999996,73.15,
16.849999999999994,73.25,
16.749999999999996,73.35,
16.649999999999995,73.45,
16.549999999999997,73.55,
16.449999999999996,73.65,
16.349999999999994,73.75,
16.249999999999996,73.85,
16.149999999999995,73.95,
16.049999999999997,74.05,
15.949999999999996,74.15,
15.849999999999994,74.25,
15.749999999999996,74.35,
15.649999999999995,74.45,
15.549999999999997,74.55,
15.449999999999996,74.65,
15.349999999999994,74.75,
15.249999999999996,74.85,
15.149999999999995,74.95,
15.049999999999997,75.05,
14.949999999999996,75.15,
14.849999999999994,75.25,
14.749999999999996,75.35,
14.649999999999995,75.45,
14.549999999999997,75.55,
14.449999999999996,75.65,
14.349999999999994,75.75,
14.249999999999996,75.85,
14.149999999999995,75.95,
14.049999999999997,76.05,
13.949999999999996,76.15,
13.849999999999994,76.25,
13.749999999999996,76.35,
13.649999999999995,76.45,
13.549999999999997,76.55,
13.449999999999996,76.65,
13.349999999999994,76.75,
13.249999999999996,76.85,
13.149999999999995,76.95,
13.049999999999997,77.05,
12.949999999999996,77.15,
12.849999999999994,77.25,
12.749999999999993,77.35,
12.649999999999999,77.44999999999999,
12.549999999999997,77.55,
12.449999999999996,77.65,
12.349999999999994,77.75,
12.249999999999993,77.85,
12.149999999999999,77.94999999999999,
12.049999999999997,78.05,
11.949999999999996,78.15,
11.849999999999994,78.25,
11.749999999999993,78.35,
11.649999999999999,78.44999999999999,
11.549999999999997,78.55,
11.449999999999996,78.65,
11.349999999999994,78.75,
11.249999999999993,78.85,
11.149999999999999,78.94999999999999,
11.049999999999997,79.05,
10.949999999999996,79.15,
10.849999999999994,79.25,
