Timestamp,PM2.5 (µg/m³)
2019-12-02 05:00:00,111.0
2019-12-03 05:00:00,113.5
2019-12-04 05:00:00,
2019-12-05 05:00:00,
2019-12-06 05:00:00,
2019-12-07 05:00:00,232.0
2019-12-08 05:00:00,
2019-12-09 05:00:00,
2019-12-10 05:00:00,183.0
2019-12-11 05:00:00,252.25
2019-12-12 05:00:00,265.0
2019-12-13 05:00:00,
2019-12-14 05:00:00,48.25
2019-12-15 05:00:00,81.5
2019-12-16 05:00:00,64.25
2019-12-17 05:00:00,65.25
2019-12-18 05:00:00,123.25
2019-12-19 05:00:00,121.25
2019-12-20 05:00:00,214.25
2019-12-21 05:00:00,279.75
2019-12-22 05:00:00,155.5
2019-12-23 05:00:00,125.0
2019-12-24 05:00:00,204.5
2019-12-25 05:00:00,124.5
2019-12-26 05:00:00,185.25
2019-12-27 05:00:00,187.0
2019-12-28 05:00:00,323.5
2019-12-29 05:00:00,265.75
2019-12-30 05:00:00,293.5
2019-12-31 05:00:00,121.5
